iteration,best_score
0,129
1,128
2,128
3,128
4,128
5,128
6,127
7,127
8,127
9,127
10,127
11,127
12,127
13,127
14,127
15,125
16,123
17,123
18,123
19,123
20,123
21,123
22,123
23,121
24,121
25,121
26,121
27,121
28,121
29,120
30,119
31,119
32,119
33,117
34,117
35,117
36,117
37,116
38,116
39,116
40,115
41,114
42,114
43,114
44,114
45,114
46,114
47,112
48,112
49,112
50,110
51,108
52,107
53,107
54,107
55,107
56,107
57,104
58,103
59,103
60,103
61,103
62,103
63,101
64,99
65,99
66,99
67,99
68,99
69,99
70,99
71,99
72,99
73,99
74,99
75,99
76,99
77,99
78,99
79,99
80,99
81,99
82,99
83,99
84,99
85,99
86,99
87,99
88,99
89,99
90,99
91,99
92,99
93,99
94,99
95,99
96,99
97,99
98,99
99,99
100,99
